atccode,target
N04AC01,Sodium-dependent noradrenaline transporter
N05AE04,Dopamine D2 receptor
N05AE04,Dopamine D1 receptor
N05AE04,Dopamine D5 receptor
N05AE04,5-hydroxytryptamine receptor 2A
N05AE04,Dopamine D3 receptor
N05AE04,Dopamine D4 receptor
N05AE04,5-hydroxytryptamine receptor 1A
N05AE04,5-hydroxytryptamine receptor 1B
N05AE04,5-hydroxytryptamine receptor 1D
N05AE04,5-hydroxytryptamine receptor 1E
N05AE04,5-hydroxytryptamine receptor 2C
N05AE04,5-hydroxytryptamine receptor 6
N05AE04,5-hydroxytryptamine receptor 7
N05AE04,Histamine H1 receptor
N05AE04,Alpha-1A adrenergic receptor
N05AE04,Alpha-1B adrenergic receptor
N05AE04,Alpha-2A adrenergic receptor
N05AE04,Alpha-2B adrenergic receptor
N05AE04,Alpha-2C adrenergic receptor
N05AE04,Muscarinic acetylcholine receptor M1
N05AE04,Muscarinic acetylcholine receptor M2
N05AE04,Muscarinic acetylcholine receptor M3
N05AE04,Muscarinic acetylcholine receptor M4
N05AE04,Muscarinic acetylcholine receptor M5
N05AE04,5-hydroxytryptamine 3 receptor
N05AE04,5-hydroxytryptamine receptor 5A
N02CA04,5-hydroxytryptamine receptor 2B
N02CA04,5-hydroxytryptamine receptor 2C
N02CA04,5-hydroxytryptamine receptor 2A
N02CA04,5-hydroxytryptamine receptor 1A
N02CA04,5-hydroxytryptamine receptor 7
N02CA04,5-hydroxytryptamine receptor 1B
N02CA04,5-hydroxytryptamine receptor 1F
N02CA04,5-hydroxytryptamine receptor 1E
N04BC06,Dopamine D2 receptor
N04BC06,5-hydroxytryptamine receptor 2B
N04BC06,Dopamine D3 receptor
N04BC06,5-hydroxytryptamine receptor 2A
N04BC06,Alpha-2B adrenergic receptor
N04BC06,5-hydroxytryptamine receptor 1D
N04BC06,Dopamine D4 receptor
N04BC06,Alpha-2A adrenergic receptor
N04BC06,5-hydroxytryptamine receptor 1A
N04BC06,Alpha-2C adrenergic receptor
N04BC06,Dopamine D5 receptor
N04BC06,Dopamine D1 receptor
N04BC06,5-hydroxytryptamine receptor 1B
N04BC06,5-hydroxytryptamine receptor 2C
N04BC06,5-hydroxytryptamine receptor 7
N04BC06,Alpha-1A adrenergic receptor
N04BC06,Alpha-1B adrenergic receptor
N04BC06,Alpha-1D adrenergic receptor
N04BC06,Beta-1 adrenergic receptor
N04BC06,Beta-2 adrenergic receptor
N04BC06,D(1) dopamine receptor
G02CB03,Dopamine D2 receptor
G02CB03,5-hydroxytryptamine receptor 2B
G02CB03,Dopamine D3 receptor
G02CB03,5-hydroxytryptamine receptor 2A
G02CB03,Alpha-2B adrenergic receptor
G02CB03,5-hydroxytryptamine receptor 1D
G02CB03,Dopamine D4 receptor
G02CB03,Alpha-2A adrenergic receptor
G02CB03,5-hydroxytryptamine receptor 1A
G02CB03,Alpha-2C adrenergic receptor
G02CB03,Dopamine D5 receptor
G02CB03,Dopamine D1 receptor
G02CB03,5-hydroxytryptamine receptor 1B
G02CB03,5-hydroxytryptamine receptor 2C
G02CB03,5-hydroxytryptamine receptor 7
G02CB03,Alpha-1A adrenergic receptor
G02CB03,Alpha-1B adrenergic receptor
G02CB03,Alpha-1D adrenergic receptor
G02CB03,Beta-1 adrenergic receptor
G02CB03,Beta-2 adrenergic receptor
G02CB03,D(1) dopamine receptor
D06BB01,DNA
D06BB01,Thymidine kinase
J05AB02,DNA
J05AB02,Thymidine kinase
S01AD01,DNA
S01AD01,Thymidine kinase
D10AX05,Inactive dihydropteroate synthase 2
D10AX05,Dihydropteroate synthase 1
J04BA02,Inactive dihydropteroate synthase 2
J04BA02,Dihydropteroate synthase 1
G01AG02,Cytochrome P450 51
N03AB02,Sodium channel protein type 5 subunit alpha
N03AB02,Sodium channel protein type 1 subunit alpha
N03AB02,Nuclear receptor subfamily 1 group I member 2
N03AB02,Sodium channel subunit beta-1
N03AB02,Sodium channel protein type 3 subunit alpha
N03AB02,Potassium voltage-gated channel subfamily H member 2
N03AB02,Voltage-dependent L-type calcium channel
N03AB02,Sodium channel protein type 2 subunit alpha
N03AB02,Sodium channel protein type 8 subunit alpha
N03AB02,GABA(A) Receptor
N03AB52,Sodium channel protein type 5 subunit alpha
N03AB52,Sodium channel protein type 1 subunit alpha
N03AB52,Nuclear receptor subfamily 1 group I member 2
N03AB52,Sodium channel subunit beta-1
N03AB52,Sodium channel protein type 3 subunit alpha
N03AB52,Potassium voltage-gated channel subfamily H member 2
N03AB52,Voltage-dependent L-type calcium channel
N03AB52,Sodium channel protein type 2 subunit alpha
N03AB52,Sodium channel protein type 8 subunit alpha
N03AB52,GABA(A) Receptor
S01BA08,Glucocorticoid receptor
J01AA02,16S ribosomal RNA
A01AB22,16S ribosomal RNA
J01AA20,16S ribosomal RNA
L02AA04,Estrogen receptor alpha
L02AA04,Estrogen-related receptor gamma
L02AA04,Estrogen receptor beta
L02AA04,Steroid hormone receptor ERR1
L02AA04,Steroid hormone receptor ERR2
L02AA04,Nuclear receptor coactivator 2
L02AA04,Nuclear receptor subfamily 1 group I member 2
L02AA04,Androgen receptor
L02AA04,Sex hormone-binding globulin
L02AA01,Estrogen receptor alpha
L02AA01,Estrogen-related receptor gamma
L02AA01,Estrogen receptor beta
L02AA01,Steroid hormone receptor ERR1
L02AA01,Steroid hormone receptor ERR2
L02AA01,Nuclear receptor coactivator 2
L02AA01,Nuclear receptor subfamily 1 group I member 2
L02AA01,Androgen receptor
L02AA01,Sex hormone-binding globulin
G03CC05,Estrogen receptor alpha
G03CC05,Estrogen-related receptor gamma
G03CC05,Estrogen receptor beta
G03CC05,Steroid hormone receptor ERR1
G03CC05,Steroid hormone receptor ERR2
G03CC05,Nuclear receptor coactivator 2
G03CC05,Nuclear receptor subfamily 1 group I member 2
G03CC05,Androgen receptor
G03CC05,Sex hormone-binding globulin
G03CB02,Estrogen receptor alpha
G03CB02,Estrogen-related receptor gamma
G03CB02,Estrogen receptor beta
G03CB02,Steroid hormone receptor ERR1
G03CB02,Steroid hormone receptor ERR2
G03CB02,Nuclear receptor coactivator 2
G03CB02,Nuclear receptor subfamily 1 group I member 2
G03CB02,Androgen receptor
G03CB02,Sex hormone-binding globulin
J01AA04,30S ribosomal protein S4
J01AA20,30S ribosomal protein S4
D01AC01,Cytochrome P450 51
D01AC01,Intermediate conductance calcium-activated potassium channel protein 4
D01AC01,Nuclear receptor subfamily 1 group I member 2
D01AC01,Hydroxycarboxylic acid receptor 2
D01AC01,Ergosterol
A01AB18,Cytochrome P450 51
A01AB18,Intermediate conductance calcium-activated potassium channel protein 4
A01AB18,Nuclear receptor subfamily 1 group I member 2
A01AB18,Hydroxycarboxylic acid receptor 2
A01AB18,Ergosterol
G01AF02,Cytochrome P450 51
G01AF02,Intermediate conductance calcium-activated potassium channel protein 4
G01AF02,Nuclear receptor subfamily 1 group I member 2
G01AF02,Hydroxycarboxylic acid receptor 2
G01AF02,Ergosterol
G01AF20,Cytochrome P450 51
G01AF20,Intermediate conductance calcium-activated potassium channel protein 4
G01AF20,Nuclear receptor subfamily 1 group I member 2
G01AF20,Hydroxycarboxylic acid receptor 2
G01AF20,Ergosterol
V03AE04,Phosphate
A11GB01,Phosphate
V03AE07,Phosphate
G01AE10,Dihydropteroate synthase
J01EB06,Dihydropteroate synthase
D06BA05,Dihydropteroate synthase
J04AB01,D-alanine--D-alanine ligase A
J04AB01,Alanine racemase
L01XX35,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
L01AD01,DNA
L01AD01,"Glutathione reductase, mitochondrial"
L01AD01,RNA
J01EB05,Dihydropteroate synthase
G01AE10,Dihydropteroate synthase
S01AB02,Dihydropteroate synthase
C07FB02,Beta-1 adrenergic receptor
C07FB02,Beta-2 adrenergic receptor
C07FX05,Beta-1 adrenergic receptor
C07FX05,Beta-2 adrenergic receptor
C07FX03,Beta-1 adrenergic receptor
C07FX03,Beta-2 adrenergic receptor
C07FB13,Beta-1 adrenergic receptor
C07FB13,Beta-2 adrenergic receptor
C07AB02,Beta-1 adrenergic receptor
C07AB02,Beta-2 adrenergic receptor
C07BB52,Beta-1 adrenergic receptor
C07BB52,Beta-2 adrenergic receptor
C07CB02,Beta-1 adrenergic receptor
C07CB02,Beta-2 adrenergic receptor
C07BB02,Beta-1 adrenergic receptor
C07BB02,Beta-2 adrenergic receptor
B01AA01,Vitamin K epoxide reductase complex subunit 1
B01AA01,NAD(P)H dehydrogenase [quinone] 1
B01AA01,Quinone oxidoreductase
J01DD05,Penicillin-binding protein 1A
J01DD05,Peptidoglycan synthase FtsI
N04BC04,Dopamine D3 receptor
N04BC04,Dopamine D4 receptor
N04BC04,Alpha adrenergic receptor
N04BC04,Dopamine D2 receptor
G03CA06,Estrogen receptor alpha
C08CA03,Voltage-dependent L-type calcium channel subunit alpha-1C
C08CA03,Voltage-dependent calcium channel subunit alpha-2/delta-1
C08CA03,Voltage-dependent L-type calcium channel subunit beta-2
C08CA03,Voltage-dependent T-type calcium channel subunit alpha-1H
C08CA03,Voltage-dependent calcium channel subunit alpha-2/delta-2
C08CA03,Voltage-dependent L-type calcium channel subunit alpha-1D
C08CA03,Voltage-dependent L-type calcium channel subunit alpha-1S
V04CG02,Histamine H2 receptor
N03AX11,Gamma-aminobutyric acid receptor subunit alpha-1
N03AX11,Voltage-gated sodium channel alpha subunit
N03AX11,Kainate receptors
N03AX11,Carbonic anhydrase 2
N03AX11,Carbonic anhydrase 4
N03AX11,Carbonic anhydrase 1
N03AX11,Carbonic anhydrase 3
N03AX11,Voltage gated L-type calcium channel
N03AX11,Voltage-dependent R-type calcium channel
J01DC09,Penicillin binding protein 2a
J01DC09,Penicillin-binding protein 1A
J01DC09,Penicillin-binding protein 1B
J01DC09,Peptidoglycan synthase FtsI
J01DC09,D-alanyl-D-alanine carboxypeptidase DacA
J01DC09,D-alanyl-D-alanine carboxypeptidase DacC
C09DA08,Type-1 angiotensin II receptor
C09DX03,Type-1 angiotensin II receptor
C09CA08,Type-1 angiotensin II receptor
C09DB02,Type-1 angiotensin II receptor
L01XX01,DNA
L01XX01,DNA topoisomerase 2-alpha
L01XX01,Potassium voltage-gated channel subfamily H member 2
L01XX01,Alpha-1-acid glycoprotein 1
L01XX01,Serum albumin
R03DA54,Adenosine receptor A1
R03DA54,Adenosine receptor A2a
R03DA54,Adenosine receptor A2b
R03DA54,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
R03DA54,"cGMP-specific 3',5'-cyclic phosphodiesterase"
R03DA54,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
R03DA54,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
R03DA54,Histone deacetylase 2
R03DA54,Copine-1
R03DA54,Minor histocompatibility antigen H13
R03DA54,Nodal modulator 1
R03DA54,Poly [ADP-ribose] polymerase 1
R03DA54,Protein RIC-3
R03DA54,Tubulin monoglycylase TTLL3
R03DA74,Adenosine receptor A1
R03DA74,Adenosine receptor A2a
R03DA74,Adenosine receptor A2b
R03DA74,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
R03DA74,"cGMP-specific 3',5'-cyclic phosphodiesterase"
R03DA74,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
R03DA74,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
R03DA74,Histone deacetylase 2
R03DA74,Copine-1
R03DA74,Minor histocompatibility antigen H13
R03DA74,Nodal modulator 1
R03DA74,Poly [ADP-ribose] polymerase 1
R03DA74,Protein RIC-3
R03DA74,Tubulin monoglycylase TTLL3
R03DA20,Adenosine receptor A1
R03DA20,Adenosine receptor A2a
R03DA20,Adenosine receptor A2b
R03DA20,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
R03DA20,"cGMP-specific 3',5'-cyclic phosphodiesterase"
R03DA20,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
R03DA20,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
R03DA20,Histone deacetylase 2
R03DA20,Copine-1
R03DA20,Minor histocompatibility antigen H13
R03DA20,Nodal modulator 1
R03DA20,Poly [ADP-ribose] polymerase 1
R03DA20,Protein RIC-3
R03DA20,Tubulin monoglycylase TTLL3
R03DA04,Adenosine receptor A1
R03DA04,Adenosine receptor A2a
R03DA04,Adenosine receptor A2b
R03DA04,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
R03DA04,"cGMP-specific 3',5'-cyclic phosphodiesterase"
R03DA04,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
R03DA04,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
R03DA04,Histone deacetylase 2
R03DA04,Copine-1
R03DA04,Minor histocompatibility antigen H13
R03DA04,Nodal modulator 1
R03DA04,Poly [ADP-ribose] polymerase 1
R03DA04,Protein RIC-3
R03DA04,Tubulin monoglycylase TTLL3
R03DB04,Adenosine receptor A1
R03DB04,Adenosine receptor A2a
R03DB04,Adenosine receptor A2b
R03DB04,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
R03DB04,"cGMP-specific 3',5'-cyclic phosphodiesterase"
R03DB04,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
R03DB04,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
R03DB04,Histone deacetylase 2
R03DB04,Copine-1
R03DB04,Minor histocompatibility antigen H13
R03DB04,Nodal modulator 1
R03DB04,Poly [ADP-ribose] polymerase 1
R03DB04,Protein RIC-3
R03DB04,Tubulin monoglycylase TTLL3
B01AE03,Prothrombin
H03AA03,Thyroid hormone receptor alpha
H03AA03,Thyroid hormone receptor beta
H03AA03,Proliferating cell nuclear antigen
H03AA02,Thyroid hormone receptor alpha
H03AA02,Thyroid hormone receptor beta
H03AA02,Proliferating cell nuclear antigen
C01BA03,Sodium channel protein type 5 subunit alpha
C01BA03,Muscarinic acetylcholine receptor M1
C01BA03,Muscarinic acetylcholine receptor M2
C01BA03,Muscarinic acetylcholine receptor M3
C01BA03,Potassium voltage-gated channel subfamily D member 2
C01BA03,Potassium voltage-gated channel subfamily D member 3
C01BA03,Potassium voltage-gated channel subfamily H member 2
C01BA03,Alpha-1-acid glycoprotein 2
S01HA07,Sodium channel protein type 10 subunit alpha
S01HA07,Sodium channel protein type 9 subunit alpha
S01HA07,Sodium channel protein type 5 subunit alpha
S01HA07,Epidermal growth factor receptor
S01HA07,Sodium channel protein type 4 subunit alpha
S01HA07,Alpha-1-acid glycoprotein 1
S01HA07,Alpha-1-acid glycoprotein 2
D04AB01,Sodium channel protein type 10 subunit alpha
D04AB01,Sodium channel protein type 9 subunit alpha
D04AB01,Sodium channel protein type 5 subunit alpha
D04AB01,Epidermal growth factor receptor
D04AB01,Sodium channel protein type 4 subunit alpha
D04AB01,Alpha-1-acid glycoprotein 1
D04AB01,Alpha-1-acid glycoprotein 2
R02AD02,Sodium channel protein type 10 subunit alpha
R02AD02,Sodium channel protein type 9 subunit alpha
R02AD02,Sodium channel protein type 5 subunit alpha
R02AD02,Epidermal growth factor receptor
R02AD02,Sodium channel protein type 4 subunit alpha
R02AD02,Alpha-1-acid glycoprotein 1
R02AD02,Alpha-1-acid glycoprotein 2
C01BB01,Sodium channel protein type 10 subunit alpha
C01BB01,Sodium channel protein type 9 subunit alpha
C01BB01,Sodium channel protein type 5 subunit alpha
C01BB01,Epidermal growth factor receptor
C01BB01,Sodium channel protein type 4 subunit alpha
C01BB01,Alpha-1-acid glycoprotein 1
C01BB01,Alpha-1-acid glycoprotein 2
S02DA01,Sodium channel protein type 10 subunit alpha
S02DA01,Sodium channel protein type 9 subunit alpha
S02DA01,Sodium channel protein type 5 subunit alpha
S02DA01,Epidermal growth factor receptor
S02DA01,Sodium channel protein type 4 subunit alpha
S02DA01,Alpha-1-acid glycoprotein 1
S02DA01,Alpha-1-acid glycoprotein 2
N01BB52,Sodium channel protein type 10 subunit alpha
N01BB52,Sodium channel protein type 9 subunit alpha
N01BB52,Sodium channel protein type 5 subunit alpha
N01BB52,Epidermal growth factor receptor
N01BB52,Sodium channel protein type 4 subunit alpha
N01BB52,Alpha-1-acid glycoprotein 1
N01BB52,Alpha-1-acid glycoprotein 2
C05AD01,Sodium channel protein type 10 subunit alpha
C05AD01,Sodium channel protein type 9 subunit alpha
C05AD01,Sodium channel protein type 5 subunit alpha
C05AD01,Epidermal growth factor receptor
C05AD01,Sodium channel protein type 4 subunit alpha
C05AD01,Alpha-1-acid glycoprotein 1
C05AD01,Alpha-1-acid glycoprotein 2
N01BB02,Sodium channel protein type 10 subunit alpha
N01BB02,Sodium channel protein type 9 subunit alpha
N01BB02,Sodium channel protein type 5 subunit alpha
N01BB02,Epidermal growth factor receptor
N01BB02,Sodium channel protein type 4 subunit alpha
N01BB02,Alpha-1-acid glycoprotein 1
N01BB02,Alpha-1-acid glycoprotein 2
M05BA03,Farnesyl pyrophosphate synthase
M05BA03,Hydroxylapatite
M05BA03,Geranylgeranyl pyrophosphate synthase
M05BA03,Caspase-3
M05BA03,Caspase-9
D04AA14,Histamine H1 receptor
R06AA54,Histamine H1 receptor
R06AA04,Histamine H1 receptor
A10BD17,"Maltase-glucoamylase, intestinal"
A10BD17,"Sucrase-isomaltase, intestinal"
A10BD17,Pancreatic alpha-amylase
A10BD17,Lysosomal alpha-glucosidase
A10BF01,"Maltase-glucoamylase, intestinal"
A10BF01,"Sucrase-isomaltase, intestinal"
A10BF01,Pancreatic alpha-amylase
A10BF01,Lysosomal alpha-glucosidase
N06AX16,Sodium-dependent serotonin transporter
N06AX16,Sodium-dependent noradrenaline transporter
N06AX16,Sodium-dependent dopamine transporter
G03CA57,Estrogen receptor alpha
G03CA57,Estrogen receptor beta
G03CC07,Estrogen receptor alpha
G03CC07,Estrogen receptor beta
S01EE04,Prostaglandin F2-alpha receptor
D07AC11,Glucocorticoid receptor
D07AC11,Annexin A1
N06BA09,Sodium-dependent noradrenaline transporter
N06BA09,Sodium-dependent serotonin transporter
N06BA09,NMDA receptor
N06BA09,G protein-activated inward rectifier potassium channel 1
N06BA09,Kappa-type opioid receptor
L01DC01,DNA ligase 1
L01DC01,DNA
L01DC01,DNA ligase 3
L01AA02,DNA
N01AX07,Gamma-aminobutyric acid receptor subunit alpha-1
N01AX07,Alpha-2B adrenergic receptor
N01AX07,GABA(A) Receptor
L01BA03,Thymidylate synthase
L01BA03,"Folylpolyglutamate synthase, mitochondrial"
G03AC08,Progesterone receptor
A07DA52,Mu-type opioid receptor
A07DA52,Kappa-type opioid receptor
A07DA52,Delta-type opioid receptor
A07DA52,Lymphocyte antigen 96
N02AA51,Mu-type opioid receptor
N02AA51,Kappa-type opioid receptor
N02AA51,Delta-type opioid receptor
N02AA51,Lymphocyte antigen 96
N02AA01,Mu-type opioid receptor
N02AA01,Kappa-type opioid receptor
N02AA01,Delta-type opioid receptor
N02AA01,Lymphocyte antigen 96
N02AG01,Mu-type opioid receptor
N02AG01,Kappa-type opioid receptor
N02AG01,Delta-type opioid receptor
N02AG01,Lymphocyte antigen 96
N01BB09,Sodium channel protein type 10 subunit alpha
N01BB01,Sodium channel protein type 10 subunit alpha
N01BB01,Prostaglandin E2 receptor EP1 subtype
N01BB51,Sodium channel protein type 10 subunit alpha
N01BB51,Prostaglandin E2 receptor EP1 subtype
S01EX02,Alpha-1A adrenergic receptor
S01EX02,Alpha-1D adrenergic receptor
S01EX02,Alpha-1B adrenergic receptor
D06BB06,DNA polymerase catalytic subunit
D06BB06,Thymidine kinase
J05AB13,DNA polymerase catalytic subunit
J05AB13,Thymidine kinase
J05AR27,Reverse transcriptase/RNaseH
J05AR27,DNA polymerase/reverse transcriptase
J05AF07,Reverse transcriptase/RNaseH
J05AF07,DNA polymerase/reverse transcriptase
J05AR08,Reverse transcriptase/RNaseH
J05AR08,DNA polymerase/reverse transcriptase
J05AR11,Reverse transcriptase/RNaseH
J05AR11,DNA polymerase/reverse transcriptase
J05AR09,Reverse transcriptase/RNaseH
J05AR09,DNA polymerase/reverse transcriptase
J05AR06,Reverse transcriptase/RNaseH
J05AR06,DNA polymerase/reverse transcriptase
J05AR24,Reverse transcriptase/RNaseH
J05AR24,DNA polymerase/reverse transcriptase
J05AR12,Reverse transcriptase/RNaseH
J05AR12,DNA polymerase/reverse transcriptase
J05AR03,Reverse transcriptase/RNaseH
J05AR03,DNA polymerase/reverse transcriptase
J01CR50,Penicillin-binding protein 1A
J01CF05,Penicillin-binding protein 1A
B02AA02,Plasminogen
J01DH03,Penicillin-binding protein 2
J01DH03,Penicillin-binding protein 2
J01DH03,Peptidoglycan synthase FtsI
J01DH03,Peptidoglycan synthase FtsI
J01DH03,D-alanyl-D-alanine carboxypeptidase DacB
J01DH03,Penicillin-binding protein 1A
J01DH03,Penicillin-binding protein 1B
J01DH03,D-alanyl-D-alanine carboxypeptidase DacC
G03AC09,Progesterone receptor
G03AC09,Estrogen receptor alpha
G03FB10,Progesterone receptor
G03FB10,Estrogen receptor alpha
G03AB05,Progesterone receptor
G03AB05,Estrogen receptor alpha
G03AA09,Progesterone receptor
G03AA09,Estrogen receptor alpha
L01DC03,DNA
N05CA07,Gamma-aminobutyric acid receptor subunit alpha-1
N05CA07,Gamma-aminobutyric acid receptor subunit alpha-2
N05CA07,Gamma-aminobutyric acid receptor subunit alpha-3
N05CA07,Gamma-aminobutyric acid receptor subunit alpha-4
N05CA07,Gamma-aminobutyric acid receptor subunit alpha-5
N05CA07,Gamma-aminobutyric acid receptor subunit alpha-6
N05CA07,Neuronal acetylcholine receptor subunit alpha-4
N05CA07,Neuronal acetylcholine receptor subunit alpha-7
N05CA07,Glutamate receptor 2
N05CA07,"Glutamate receptor ionotropic, kainate 2"
N05CA07,GABA(A) Receptor
L01XX25,Retinoic acid receptor RXR-alpha
L01XX25,Retinoic acid receptor RXR-beta
L01XX25,Retinoic acid receptor RXR-gamma
C01BD05,Voltage-dependent L-type calcium channel subunit alpha-1C
C01BD05,Voltage-dependent L-type calcium channel subunit beta-1
C01BD05,Potassium voltage-gated channel subfamily H member 2
C01BD05,Voltage-dependent calcium channel subunit alpha-2/delta-1
C01BD05,Voltage-dependent calcium channel gamma-1 subunit
C01BD05,Potassium channel subfamily K member 1
C01BD05,Potassium channel subfamily K member 6
C01BD05,Potassium voltage-gated channel subfamily H member 6
C01BD05,Potassium voltage-gated channel subfamily H member 7
C01BD05,ATP-sensitive inward rectifier potassium channel 11
L01CA03,Tubulin beta-1 chain
G01AE10,Solute carrier family 12 member 1
G01AE10,Carbonic anhydrase 1
C03EA06,Solute carrier family 12 member 1
C03EA06,Carbonic anhydrase 1
C03BB04,Solute carrier family 12 member 1
C03BB04,Carbonic anhydrase 1
C03BA04,Solute carrier family 12 member 1
C03BA04,Carbonic anhydrase 1
N05CB01,Gamma-aminobutyric acid receptor subunit alpha-1
N05CB01,Gamma-aminobutyric acid receptor subunit alpha-2
N05CB01,Gamma-aminobutyric acid receptor subunit alpha-3
N05CB01,Gamma-aminobutyric acid receptor subunit alpha-4
N05CB01,Gamma-aminobutyric acid receptor subunit alpha-5
N05CB01,Gamma-aminobutyric acid receptor subunit alpha-6
N05CB01,Neuronal acetylcholine receptor subunit alpha-4
N05CB01,Neuronal acetylcholine receptor subunit alpha-7
N05CB01,Glutamate receptor 2
N05CB01,"Glutamate receptor ionotropic, kainate 2"
N05CB01,GABA(A) Receptor
N05CB01,NMDA receptor
N05CB01,Nuclear receptor subfamily 1 group I member 2
N05CA01,Gamma-aminobutyric acid receptor subunit alpha-1
N05CA01,Gamma-aminobutyric acid receptor subunit alpha-2
N05CA01,Gamma-aminobutyric acid receptor subunit alpha-3
N05CA01,Gamma-aminobutyric acid receptor subunit alpha-4
N05CA01,Gamma-aminobutyric acid receptor subunit alpha-5
N05CA01,Gamma-aminobutyric acid receptor subunit alpha-6
N05CA01,Neuronal acetylcholine receptor subunit alpha-4
N05CA01,Neuronal acetylcholine receptor subunit alpha-7
N05CA01,Glutamate receptor 2
N05CA01,"Glutamate receptor ionotropic, kainate 2"
N05CA01,GABA(A) Receptor
N05CA01,NMDA receptor
N05CA01,Nuclear receptor subfamily 1 group I member 2
N03AG01,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
N03AG01,Histone deacetylase 9
N03AG01,"2-oxoglutarate dehydrogenase, mitochondrial"
N03AG01,"Succinate-semialdehyde dehydrogenase, mitochondrial"
N03AG01,Sodium channel protein
N03AG01,Histone deacetylase 2
N03AG01,Peroxisome proliferator-activated receptor alpha
N03AG01,Peroxisome proliferator-activated receptor delta
N03AG01,Peroxisome proliferator-activated receptor gamma
J04AB30,16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
N02CC03,5-hydroxytryptamine receptor 1B
N02CC03,5-hydroxytryptamine receptor 1D
N02CC03,5-hydroxytryptamine receptor 1F
N02CC03,5-hydroxytryptamine receptor 1E
N02CC03,5-hydroxytryptamine receptor 7
N02CC03,5-hydroxytryptamine receptor 1A
N02CC03,5-hydroxytryptamine receptor 2A
N02CC03,5-hydroxytryptamine receptor 2B
N02BE71,Prostaglandin E synthase 3
N02BE71,Prostaglandin G/H synthase 2
N02BE71,Prostaglandin G/H synthase 1
N02BE71,Transient receptor potential cation channel subfamily V member 1
N02BE01,Prostaglandin E synthase 3
N02BE01,Prostaglandin G/H synthase 2
N02BE01,Prostaglandin G/H synthase 1
N02BE01,Transient receptor potential cation channel subfamily V member 1
N02AJ13,Prostaglandin E synthase 3
N02AJ13,Prostaglandin G/H synthase 2
N02AJ13,Prostaglandin G/H synthase 1
N02AJ13,Transient receptor potential cation channel subfamily V member 1
N02AJ17,Prostaglandin E synthase 3
N02AJ17,Prostaglandin G/H synthase 2
N02AJ17,Prostaglandin G/H synthase 1
N02AJ17,Transient receptor potential cation channel subfamily V member 1
N02BE51,Prostaglandin E synthase 3
N02BE51,Prostaglandin G/H synthase 2
N02BE51,Prostaglandin G/H synthase 1
N02BE51,Transient receptor potential cation channel subfamily V member 1
N02AJ06,Prostaglandin E synthase 3
N02AJ06,Prostaglandin G/H synthase 2
N02AJ06,Prostaglandin G/H synthase 1
N02AJ06,Transient receptor potential cation channel subfamily V member 1
N02AJ01,Prostaglandin E synthase 3
N02AJ01,Prostaglandin G/H synthase 2
N02AJ01,Prostaglandin G/H synthase 1
N02AJ01,Transient receptor potential cation channel subfamily V member 1
L01XE02,Epidermal growth factor receptor
N02AA79,Mu-type opioid receptor
N02AA79,Kappa-type opioid receptor
N02AA79,Delta-type opioid receptor
R05DA04,Mu-type opioid receptor
R05DA04,Kappa-type opioid receptor
R05DA04,Delta-type opioid receptor
N02AA59,Mu-type opioid receptor
N02AA59,Kappa-type opioid receptor
N02AA59,Delta-type opioid receptor
N02AJ08,Mu-type opioid receptor
N02AJ08,Kappa-type opioid receptor
N02AJ08,Delta-type opioid receptor
N02AJ06,Mu-type opioid receptor
N02AJ06,Kappa-type opioid receptor
N02AJ06,Delta-type opioid receptor
N02AJ07,Mu-type opioid receptor
N02AJ07,Kappa-type opioid receptor
N02AJ07,Delta-type opioid receptor
J01CA12,Penicillin-binding protein 3
J01CA12,Penicillin-binding protein 2B
J01CA12,Penicillin-binding protein 2a
J01CA12,Penicillin-binding protein 1b
J01CR50,Penicillin-binding protein 3
J01CR50,Penicillin-binding protein 2B
J01CR50,Penicillin-binding protein 2a
J01CR50,Penicillin-binding protein 1b
N02CA51,5-hydroxytryptamine receptor 1B
N02CA51,5-hydroxytryptamine receptor 1D
N02CA51,5-hydroxytryptamine receptor 1F
N02CA51,Alpha-2A adrenergic receptor
N02CA51,5-hydroxytryptamine receptor 1A
N02CA51,5-hydroxytryptamine receptor 1E
N02CA51,5-hydroxytryptamine receptor 2A
N02CA51,5-hydroxytryptamine receptor 2B
N02CA51,5-hydroxytryptamine receptor 2C
