drugid,target
DB00197,Peroxisome proliferator-activated receptor delta
DB00197,Peroxisome proliferator-activated receptor alpha
DB00197,Glutathione S-transferase P
APRD00488,Peroxisome proliferator-activated receptor gamma
APRD00488,Long-chain-fatty-acid--CoA ligase 4
APRD00488,Plasminogen activator inhibitor 1
APRD00488,Equilibrative nucleoside transporter 1
APRD00488,Estrogen-related receptor gamma
APRD00488,Steroid hormone receptor ERR1
APRD00488,Peroxisome proliferator-activated receptor delta
APRD00488,Peroxisome proliferator-activated receptor alpha
APRD00488,Glutathione S-transferase P
DB00198,Neuraminidase
DB00198,Sialidase-1
DB00198,Sialidase-2
APRD01148,Neuraminidase
APRD01148,Sialidase-1
APRD01148,Sialidase-2
DB00199,23S ribosomal RNA
DB00199,Motilin receptor
DB00199,Potassium voltage-gated channel subfamily H member 2
APRD00953,23S ribosomal RNA
APRD00953,Motilin receptor
APRD00953,Potassium voltage-gated channel subfamily H member 2
DB00200,Methionine synthase
DB00200,"Methylmalonyl-CoA mutase, mitochondrial"
DB00200,"Methylmalonic aciduria type A protein, mitochondrial"
DB00200,Transcobalamin-1
DB00200,Protein amnionless
DB00200,Cubilin
DB00200,Methylmalonic aciduria and homocystinuria type C protein
APRD01022,Methionine synthase
APRD01022,"Methylmalonyl-CoA mutase, mitochondrial"
APRD01022,"Methylmalonic aciduria type A protein, mitochondrial"
APRD01022,Transcobalamin-1
APRD01022,Protein amnionless
APRD01022,Cubilin
APRD01022,Methylmalonic aciduria and homocystinuria type C protein
DB00201,Adenosine receptor A1
DB00201,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
DB00201,Adenosine receptor A2a
DB00201,Ryanodine receptor 1
DB00201,Cyclic nucleotide phosphodiesterase
DB00201,DNA-dependent protein kinase catalytic subunit
DB00201,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"
DB00201,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"
DB00201,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"
DB00201,"Inositol 1,4,5-trisphosphate receptor"
DB00201,Serine-protein kinase ATM
DB00201,Adenosine receptor A2b
DB00201,Adenosine receptor A3
DB00201,Phosphodiesterase enzymes
APRD00673,Adenosine receptor A1
APRD00673,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
APRD00673,Adenosine receptor A2a
APRD00673,Ryanodine receptor 1
APRD00673,Cyclic nucleotide phosphodiesterase
APRD00673,DNA-dependent protein kinase catalytic subunit
APRD00673,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"
APRD00673,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"
APRD00673,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"
APRD00673,"Inositol 1,4,5-trisphosphate receptor"
APRD00673,Serine-protein kinase ATM
APRD00673,Adenosine receptor A2b
APRD00673,Adenosine receptor A3
APRD00673,Phosphodiesterase enzymes
DB00202,Neuronal Acetylcholine (nACh) Receptor Subunits
DB00202,Muscarinic acetylcholine receptor M2
DB00202,Muscarinic acetylcholine receptor M3
APRD00159,Neuronal Acetylcholine (nACh) Receptor Subunits
APRD00159,Muscarinic acetylcholine receptor M2
APRD00159,Muscarinic acetylcholine receptor M3
DB00203,"cGMP-specific 3',5'-cyclic phosphodiesterase"
DB00203,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
DB00203,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
APRD00556,"cGMP-specific 3',5'-cyclic phosphodiesterase"
APRD00556,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
APRD00556,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
DB00204,Potassium voltage-gated channel subfamily H member 2
DB00204,Potassium channel subfamily K member 2
DB00204,ATP-sensitive inward rectifier potassium channel 12
APRD00367,Potassium voltage-gated channel subfamily H member 2
APRD00367,Potassium channel subfamily K member 2
APRD00367,ATP-sensitive inward rectifier potassium channel 12
DB00205,Dihydrofolate reductase
DB00205,Bifunctional dihydrofolate reductase-thymidylate synthase
DB00205,Beta-hexosaminidase subunit beta
APRD00599,Dihydrofolate reductase
APRD00599,Bifunctional dihydrofolate reductase-thymidylate synthase
APRD00599,Beta-hexosaminidase subunit beta
DB00206,Synaptic vesicular amine transporter
DB00206,Chromaffin granule amine transporter
DB00206,Baculoviral IAP repeat-containing protein 5
APRD00472,Synaptic vesicular amine transporter
APRD00472,Chromaffin granule amine transporter
APRD00472,Baculoviral IAP repeat-containing protein 5
DB00207,23S ribosomal RNA
DB00207,Protein-arginine deiminase type-4
APRD00397,23S ribosomal RNA
APRD00397,Protein-arginine deiminase type-4
DB00208,P2Y purinoceptor 12
APRD01257,P2Y purinoceptor 12
DB00209,Muscarinic acetylcholine receptor M1
DB00209,Muscarinic acetylcholine receptor M3
APRD00393,Muscarinic acetylcholine receptor M1
APRD00393,Muscarinic acetylcholine receptor M3
DB00210,Retinoic acid receptor beta
DB00210,Retinoic acid receptor gamma
DB00210,Retinoic acid receptor RXR-beta
DB00210,Retinoic acid receptor RXR-gamma
DB00210,Retinoic acid receptor RXR-alpha
DB00210,Transcription factor AP-1
DB00210,Toll-like receptor 2
DB00210,Retinoic acid receptor alpha
DB00210,"Aspartate aminotransferase, cytoplasmic"
APRD00780,Retinoic acid receptor beta
APRD00780,Retinoic acid receptor gamma
APRD00780,Retinoic acid receptor RXR-beta
APRD00780,Retinoic acid receptor RXR-gamma
APRD00780,Retinoic acid receptor RXR-alpha
APRD00780,Transcription factor AP-1
APRD00780,Toll-like receptor 2
APRD00780,Retinoic acid receptor alpha
APRD00780,"Aspartate aminotransferase, cytoplasmic"
DB00211,Alpha-1A adrenergic receptor
DB00211,Alpha-1B adrenergic receptor
DB00211,Alpha-1D adrenergic receptor
APRD01116,Alpha-1A adrenergic receptor
APRD01116,Alpha-1B adrenergic receptor
APRD01116,Alpha-1D adrenergic receptor
DB00212,Renin
APRD00163,Renin
DB00213,Potassium-transporting ATPase alpha chain 1
DB00213,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
APRD00073,Potassium-transporting ATPase alpha chain 1
APRD00073,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
DB00214,Solute carrier family 12 member 1
DB00214,Solute carrier family 12 member 2
APRD00295,Solute carrier family 12 member 1
APRD00295,Solute carrier family 12 member 2
APRD00217,Solute carrier family 12 member 1
APRD00217,Solute carrier family 12 member 2
DB00215,Sodium-dependent serotonin transporter
DB00215,Histamine H1 receptor
APRD00147,Sodium-dependent serotonin transporter
APRD00147,Histamine H1 receptor
DB00216,5-hydroxytryptamine receptor 1D
DB00216,5-hydroxytryptamine receptor 1B
DB00216,5-hydroxytryptamine receptor 1F
DB00216,5-hydroxytryptamine receptor 1A
APRD00945,5-hydroxytryptamine receptor 1D
APRD00945,5-hydroxytryptamine receptor 1B
APRD00945,5-hydroxytryptamine receptor 1F
APRD00945,5-hydroxytryptamine receptor 1A
DB00217,Alpha-2 adrenergic receptors
DB00217,ATP-sensitive inward rectifier potassium channel 1
DB00217,Beta adrenergic receptor
APRD00825,Alpha-2 adrenergic receptors
APRD00825,ATP-sensitive inward rectifier potassium channel 1
APRD00825,Beta adrenergic receptor
DB00218,DNA topoisomerase 4 subunit A
DB00218,DNA gyrase subunit A
DB00218,DNA topoisomerase 2-alpha
APRD00281,DNA topoisomerase 4 subunit A
APRD00281,DNA gyrase subunit A
APRD00281,DNA topoisomerase 2-alpha
DB00219,Muscarinic acetylcholine receptor M1
APRD00189,Muscarinic acetylcholine receptor M1
DB00220,HIV-1 protease
APRD00003,HIV-1 protease
DB00221,Beta-1 adrenergic receptor
DB00221,Beta-2 adrenergic receptor
APRD00750,Beta-1 adrenergic receptor
APRD00750,Beta-2 adrenergic receptor
DB00222,ATP-sensitive inward rectifier potassium channel 11
DB00222,ATP-sensitive inward rectifier potassium channel 1
DB00222,ATP-binding cassette sub-family C member 8
APRD00381,ATP-sensitive inward rectifier potassium channel 11
APRD00381,ATP-sensitive inward rectifier potassium channel 1
APRD00381,ATP-binding cassette sub-family C member 8
DB00223,Glucocorticoid receptor
APRD00921,Glucocorticoid receptor
DB00224,Human immunodeficiency virus type 1 protease
APRD00069,Human immunodeficiency virus type 1 protease
DB00226,Sodium-dependent noradrenaline transporter
APRD01006,Sodium-dependent noradrenaline transporter
DB00227,3-hydroxy-3-methylglutaryl-coenzyme A reductase
DB00227,Integrin alpha-L
DB00227,Histone deacetylase 2
APRD00370,3-hydroxy-3-methylglutaryl-coenzyme A reductase
APRD00370,Integrin alpha-L
APRD00370,Histone deacetylase 2
DB00228,GABA(A) Receptor
DB00228,Voltage-gated Potassium Channels
DB00228,Calcium-transporting ATPase type 2C member 1
DB00228,Glutamate (NMDA) receptor
DB00228,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
DB00228,Voltage-dependent calcium channel
DB00228,Glycine receptor subunit alpha-1
APRD00234,GABA(A) Receptor
APRD00234,Voltage-gated Potassium Channels
APRD00234,Calcium-transporting ATPase type 2C member 1
APRD00234,Glutamate (NMDA) receptor
APRD00234,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
APRD00234,Voltage-dependent calcium channel
APRD00234,Glycine receptor subunit alpha-1
DB00229,Penicillin-binding protein 1A
APRD00855,Penicillin-binding protein 1A
DB00230,Voltage-dependent calcium channel subunit alpha-2/delta-1
APRD01198,Voltage-dependent calcium channel subunit alpha-2/delta-1
DB00231,GABA(A) Receptor
DB00231,GABA(A) Receptor Benzodiazepine Binding Site
APRD00676,GABA(A) Receptor
APRD00676,GABA(A) Receptor Benzodiazepine Binding Site
DB00232,Solute carrier family 12 member 1
DB00232,Carbonic anhydrase 1
DB00232,Carbonic anhydrase 2
DB00232,Carbonic anhydrase 4
APRD01104,Solute carrier family 12 member 1
APRD01104,Carbonic anhydrase 1
APRD01104,Carbonic anhydrase 2
APRD01104,Carbonic anhydrase 4
DB00233,Prostaglandin G/H synthase 2
DB00233,Inhibitor of nuclear factor kappa-B kinase subunit alpha
DB00233,Arachidonate 5-lipoxygenase
DB00233,Group IIE secretory phospholipase A2
APRD00749,Prostaglandin G/H synthase 2
APRD00749,Inhibitor of nuclear factor kappa-B kinase subunit alpha
APRD00749,Arachidonate 5-lipoxygenase
APRD00749,Group IIE secretory phospholipase A2
EXPT00693,Prostaglandin G/H synthase 2
EXPT00693,Inhibitor of nuclear factor kappa-B kinase subunit alpha
EXPT00693,Arachidonate 5-lipoxygenase
EXPT00693,Group IIE secretory phospholipase A2
DB09367,Prostaglandin G/H synthase 2
DB09367,Inhibitor of nuclear factor kappa-B kinase subunit alpha
DB09367,Arachidonate 5-lipoxygenase
DB09367,Group IIE secretory phospholipase A2
DB00234,Sodium-dependent noradrenaline transporter
APRD00198,Sodium-dependent noradrenaline transporter
DB00235,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
APRD00010,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
DB00236,DNA
APRD00693,DNA
DB00237,GABA(A) Receptor
DB00237,Neuronal Acetylcholine (nACh) Receptor Subunits
DB00237,Glutamate receptor 1
DB00237,Glutamate receptor 2
DB00237,Glutamate receptor 3
DB00237,Glutamate receptor 4
DB00237,"Glutamate receptor ionotropic, kainate 1"
DB00237,"Glutamate receptor ionotropic, kainate 2"
DB00237,"Glutamate receptor ionotropic, kainate 3"
DB00237,"Glutamate receptor ionotropic, kainate 4"
DB00237,"Glutamate receptor ionotropic, kainate 5"
APRD00752,GABA(A) Receptor
APRD00752,Neuronal Acetylcholine (nACh) Receptor Subunits
APRD00752,Glutamate receptor 1
APRD00752,Glutamate receptor 2
APRD00752,Glutamate receptor 3
APRD00752,Glutamate receptor 4
APRD00752,"Glutamate receptor ionotropic, kainate 1"
APRD00752,"Glutamate receptor ionotropic, kainate 2"
APRD00752,"Glutamate receptor ionotropic, kainate 3"
APRD00752,"Glutamate receptor ionotropic, kainate 4"
APRD00752,"Glutamate receptor ionotropic, kainate 5"
DB00238,Reverse transcriptase/RNaseH
APRD00705,Reverse transcriptase/RNaseH
DB08311,Reverse transcriptase/RNaseH
DB00239,Cytochrome P450 51
DB00239,Lanosterol synthase
DB00239,Nuclear receptor subfamily 1 group I member 2
APRD01154,Cytochrome P450 51
APRD01154,Lanosterol synthase
APRD01154,Nuclear receptor subfamily 1 group I member 2
DB00240,Glucocorticoid receptor
APRD00783,Glucocorticoid receptor
DB00241,Gamma-aminobutyric acid receptor subunit alpha-1
DB00241,Gamma-aminobutyric acid receptor subunit alpha-2
DB00241,Gamma-aminobutyric acid receptor subunit alpha-3
DB00241,Gamma-aminobutyric acid receptor subunit alpha-4
DB00241,Gamma-aminobutyric acid receptor subunit alpha-5
DB00241,Gamma-aminobutyric acid receptor subunit alpha-6
DB00241,Neuronal acetylcholine receptor subunit alpha-4
DB00241,Neuronal acetylcholine receptor subunit alpha-7
DB00241,Glutamate receptor 2
DB00241,"Glutamate receptor ionotropic, kainate 2"
DB00241,GABA(A) Receptor
APRD00266,Gamma-aminobutyric acid receptor subunit alpha-1
APRD00266,Gamma-aminobutyric acid receptor subunit alpha-2
APRD00266,Gamma-aminobutyric acid receptor subunit alpha-3
APRD00266,Gamma-aminobutyric acid receptor subunit alpha-4
APRD00266,Gamma-aminobutyric acid receptor subunit alpha-5
APRD00266,Gamma-aminobutyric acid receptor subunit alpha-6
APRD00266,Neuronal acetylcholine receptor subunit alpha-4
APRD00266,Neuronal acetylcholine receptor subunit alpha-7
APRD00266,Glutamate receptor 2
APRD00266,"Glutamate receptor ionotropic, kainate 2"
APRD00266,GABA(A) Receptor
DB00242,Ribonucleoside-diphosphate reductase large subunit
DB00242,Ribonucleoside-diphosphate reductase subunit M2
DB00242,Ribonucleoside-diphosphate reductase subunit M2 B
DB00242,DNA
DB00242,DNA polymerase alpha catalytic subunit
DB00242,DNA polymerase epsilon catalytic subunit A
DB00242,DNA polymerase epsilon subunit 2
DB00242,DNA polymerase epsilon subunit 3
DB00242,DNA polymerase epsilon subunit 4
DB00242,Purine nucleoside phosphorylase
APRD00260,Ribonucleoside-diphosphate reductase large subunit
APRD00260,Ribonucleoside-diphosphate reductase subunit M2
APRD00260,Ribonucleoside-diphosphate reductase subunit M2 B
APRD00260,DNA
APRD00260,DNA polymerase alpha catalytic subunit
APRD00260,DNA polymerase epsilon catalytic subunit A
APRD00260,DNA polymerase epsilon subunit 2
APRD00260,DNA polymerase epsilon subunit 3
APRD00260,DNA polymerase epsilon subunit 4
APRD00260,Purine nucleoside phosphorylase
DB00243,Sodium channel protein
DB00243,Inward rectifier potassium channel
DB00243,Voltage gated L-type calcium channel
DB00243,Alpha-1 adrenergic receptors
DB00243,Beta-1 adrenergic receptor
DB00243,Fatty acid
APRD01300,Sodium channel protein
APRD01300,Inward rectifier potassium channel
APRD01300,Voltage gated L-type calcium channel
APRD01300,Alpha-1 adrenergic receptors
APRD01300,Beta-1 adrenergic receptor
APRD01300,Fatty acid
DB00244,Prostaglandin G/H synthase 2
DB00244,Prostaglandin G/H synthase 1
DB00244,Arachidonate 5-lipoxygenase
DB00244,Peroxisome proliferator-activated receptor gamma
DB00244,Inhibitor of nuclear factor kappa-B kinase subunit alpha
DB00244,Inhibitor of nuclear factor kappa-B kinase subunit beta
DB00244,Myeloperoxidase
APRD01098,Prostaglandin G/H synthase 2
APRD01098,Prostaglandin G/H synthase 1
APRD01098,Arachidonate 5-lipoxygenase
APRD01098,Peroxisome proliferator-activated receptor gamma
APRD01098,Inhibitor of nuclear factor kappa-B kinase subunit alpha
APRD01098,Inhibitor of nuclear factor kappa-B kinase subunit beta
APRD01098,Myeloperoxidase
DB05376,Prostaglandin G/H synthase 2
DB05376,Prostaglandin G/H synthase 1
DB05376,Arachidonate 5-lipoxygenase
DB05376,Peroxisome proliferator-activated receptor gamma
DB05376,Inhibitor of nuclear factor kappa-B kinase subunit alpha
DB05376,Inhibitor of nuclear factor kappa-B kinase subunit beta
DB05376,Myeloperoxidase
DB06396,Prostaglandin G/H synthase 2
DB06396,Prostaglandin G/H synthase 1
DB06396,Arachidonate 5-lipoxygenase
DB06396,Peroxisome proliferator-activated receptor gamma
DB06396,Inhibitor of nuclear factor kappa-B kinase subunit alpha
DB06396,Inhibitor of nuclear factor kappa-B kinase subunit beta
DB06396,Myeloperoxidase
DB00245,Muscarinic acetylcholine receptor M1
DB00245,Sodium-dependent dopamine transporter
DB00245,Histamine H1 receptor
DB00245,Sodium-dependent serotonin transporter
DB00245,Sodium-dependent noradrenaline transporter
APRD00748,Muscarinic acetylcholine receptor M1
APRD00748,Sodium-dependent dopamine transporter
APRD00748,Histamine H1 receptor
APRD00748,Sodium-dependent serotonin transporter
APRD00748,Sodium-dependent noradrenaline transporter
DB00246,Dopamine D2 receptor
DB00246,Dopamine D1 receptor
DB00246,Dopamine D5 receptor
DB00246,5-hydroxytryptamine receptor 2A
DB00246,Dopamine D3 receptor
DB00246,Dopamine D4 receptor
DB00246,5-hydroxytryptamine receptor 1A
DB00246,5-hydroxytryptamine receptor 1B
DB00246,5-hydroxytryptamine receptor 1D
DB00246,5-hydroxytryptamine receptor 1E
DB00246,5-hydroxytryptamine receptor 2C
DB00246,5-hydroxytryptamine receptor 6
DB00246,5-hydroxytryptamine receptor 7
DB00246,Histamine H1 receptor
DB00246,Alpha-1A adrenergic receptor
DB00246,Alpha-1B adrenergic receptor
DB00246,Alpha-2A adrenergic receptor
DB00246,Alpha-2B adrenergic receptor
DB00246,Alpha-2C adrenergic receptor
DB00246,Muscarinic acetylcholine receptor M1
DB00246,Muscarinic acetylcholine receptor M2
DB00246,Muscarinic acetylcholine receptor M3
DB00246,Muscarinic acetylcholine receptor M4
DB00246,Muscarinic acetylcholine receptor M5
DB00246,5-hydroxytryptamine 3 receptor
DB00246,5-hydroxytryptamine receptor 5A
APRD00540,Dopamine D2 receptor
APRD00540,Dopamine D1 receptor
APRD00540,Dopamine D5 receptor
APRD00540,5-hydroxytryptamine receptor 2A
APRD00540,Dopamine D3 receptor
APRD00540,Dopamine D4 receptor
APRD00540,5-hydroxytryptamine receptor 1A
APRD00540,5-hydroxytryptamine receptor 1B
APRD00540,5-hydroxytryptamine receptor 1D
APRD00540,5-hydroxytryptamine receptor 1E
APRD00540,5-hydroxytryptamine receptor 2C
APRD00540,5-hydroxytryptamine receptor 6
APRD00540,5-hydroxytryptamine receptor 7
APRD00540,Histamine H1 receptor
APRD00540,Alpha-1A adrenergic receptor
APRD00540,Alpha-1B adrenergic receptor
APRD00540,Alpha-2A adrenergic receptor
APRD00540,Alpha-2B adrenergic receptor
APRD00540,Alpha-2C adrenergic receptor
APRD00540,Muscarinic acetylcholine receptor M1
APRD00540,Muscarinic acetylcholine receptor M2
APRD00540,Muscarinic acetylcholine receptor M3
APRD00540,Muscarinic acetylcholine receptor M4
APRD00540,Muscarinic acetylcholine receptor M5
APRD00540,5-hydroxytryptamine 3 receptor
APRD00540,5-hydroxytryptamine receptor 5A
DB00247,5-hydroxytryptamine receptor 2B
DB00247,5-hydroxytryptamine receptor 2C
DB00247,5-hydroxytryptamine receptor 2A
DB00247,5-hydroxytryptamine receptor 1A
DB00247,5-hydroxytryptamine receptor 7
DB00247,5-hydroxytryptamine receptor 1B
DB00247,5-hydroxytryptamine receptor 1F
DB00247,5-hydroxytryptamine receptor 1E
APRD00463,5-hydroxytryptamine receptor 2B
APRD00463,5-hydroxytryptamine receptor 2C
APRD00463,5-hydroxytryptamine receptor 2A
APRD00463,5-hydroxytryptamine receptor 1A
APRD00463,5-hydroxytryptamine receptor 7
APRD00463,5-hydroxytryptamine receptor 1B
APRD00463,5-hydroxytryptamine receptor 1F
APRD00463,5-hydroxytryptamine receptor 1E
DB00248,Dopamine D2 receptor
DB00248,5-hydroxytryptamine receptor 2B
DB00248,Dopamine D3 receptor
DB00248,5-hydroxytryptamine receptor 2A
DB00248,Alpha-2B adrenergic receptor
DB00248,5-hydroxytryptamine receptor 1D
DB00248,Dopamine D4 receptor
DB00248,Alpha-2A adrenergic receptor
DB00248,5-hydroxytryptamine receptor 1A
DB00248,Alpha-2C adrenergic receptor
DB00248,Dopamine D5 receptor
DB00248,Dopamine D1 receptor
DB00248,5-hydroxytryptamine receptor 1B
DB00248,5-hydroxytryptamine receptor 2C
DB00248,5-hydroxytryptamine receptor 7
DB00248,Alpha-1A adrenergic receptor
DB00248,Alpha-1B adrenergic receptor
DB00248,Alpha-1D adrenergic receptor
DB00248,Beta-1 adrenergic receptor
DB00248,Beta-2 adrenergic receptor
DB00248,D(1) dopamine receptor
APRD00836,Dopamine D2 receptor
APRD00836,5-hydroxytryptamine receptor 2B
APRD00836,Dopamine D3 receptor
APRD00836,5-hydroxytryptamine receptor 2A
APRD00836,Alpha-2B adrenergic receptor
APRD00836,5-hydroxytryptamine receptor 1D
APRD00836,Dopamine D4 receptor
APRD00836,Alpha-2A adrenergic receptor
APRD00836,5-hydroxytryptamine receptor 1A
APRD00836,Alpha-2C adrenergic receptor
APRD00836,Dopamine D5 receptor
APRD00836,Dopamine D1 receptor
APRD00836,5-hydroxytryptamine receptor 1B
APRD00836,5-hydroxytryptamine receptor 2C
APRD00836,5-hydroxytryptamine receptor 7
APRD00836,Alpha-1A adrenergic receptor
APRD00836,Alpha-1B adrenergic receptor
APRD00836,Alpha-1D adrenergic receptor
APRD00836,Beta-1 adrenergic receptor
APRD00836,Beta-2 adrenergic receptor
APRD00836,D(1) dopamine receptor
DB00249,DNA
DB00249,Thymidine kinase
APRD00504,DNA
APRD00504,Thymidine kinase
EXPT01835,DNA
EXPT01835,Thymidine kinase
DB03778,DNA
DB03778,Thymidine kinase
DB00250,Inactive dihydropteroate synthase 2
DB00250,Dihydropteroate synthase 1
APRD00345,Inactive dihydropteroate synthase 2
APRD00345,Dihydropteroate synthase 1
DB00251,Cytochrome P450 51
APRD00659,Cytochrome P450 51
DB00252,Sodium channel protein type 5 subunit alpha
DB00252,Sodium channel protein type 1 subunit alpha
DB00252,Nuclear receptor subfamily 1 group I member 2
DB00252,Sodium channel subunit beta-1
DB00252,Sodium channel protein type 3 subunit alpha
DB00252,Potassium voltage-gated channel subfamily H member 2
DB00252,Voltage-dependent L-type calcium channel
DB00252,Sodium channel protein type 2 subunit alpha
DB00252,Sodium channel protein type 8 subunit alpha
DB00252,GABA(A) Receptor
APRD00241,Sodium channel protein type 5 subunit alpha
APRD00241,Sodium channel protein type 1 subunit alpha
APRD00241,Nuclear receptor subfamily 1 group I member 2
APRD00241,Sodium channel subunit beta-1
APRD00241,Sodium channel protein type 3 subunit alpha
APRD00241,Potassium voltage-gated channel subfamily H member 2
APRD00241,Voltage-dependent L-type calcium channel
APRD00241,Sodium channel protein type 2 subunit alpha
APRD00241,Sodium channel protein type 8 subunit alpha
APRD00241,GABA(A) Receptor
DB00253,Glucocorticoid receptor
APRD01091,Glucocorticoid receptor
DB00254,16S ribosomal RNA
APRD00597,16S ribosomal RNA
DB00255,Estrogen receptor alpha
DB00255,Estrogen-related receptor gamma
DB00255,Estrogen receptor beta
DB00255,Steroid hormone receptor ERR1
DB00255,Steroid hormone receptor ERR2
DB00255,Nuclear receptor coactivator 2
DB00255,Nuclear receptor subfamily 1 group I member 2
DB00255,Androgen receptor
DB00255,Sex hormone-binding globulin
APRD00920,Estrogen receptor alpha
APRD00920,Estrogen-related receptor gamma
APRD00920,Estrogen receptor beta
APRD00920,Steroid hormone receptor ERR1
APRD00920,Steroid hormone receptor ERR2
APRD00920,Nuclear receptor coactivator 2
APRD00920,Nuclear receptor subfamily 1 group I member 2
APRD00920,Androgen receptor
APRD00920,Sex hormone-binding globulin
EXPT01164,Estrogen receptor alpha
EXPT01164,Estrogen-related receptor gamma
EXPT01164,Estrogen receptor beta
EXPT01164,Steroid hormone receptor ERR1
EXPT01164,Steroid hormone receptor ERR2
EXPT01164,Nuclear receptor coactivator 2
EXPT01164,Nuclear receptor subfamily 1 group I member 2
EXPT01164,Androgen receptor
EXPT01164,Sex hormone-binding globulin
DB00256,30S ribosomal protein S4
APRD00565,30S ribosomal protein S4
EXPT01049,30S ribosomal protein S4
DB00257,Cytochrome P450 51
DB00257,Intermediate conductance calcium-activated potassium channel protein 4
DB00257,Nuclear receptor subfamily 1 group I member 2
DB00257,Hydroxycarboxylic acid receptor 2
DB00257,Ergosterol
APRD00244,Cytochrome P450 51
APRD00244,Intermediate conductance calcium-activated potassium channel protein 4
APRD00244,Nuclear receptor subfamily 1 group I member 2
APRD00244,Hydroxycarboxylic acid receptor 2
APRD00244,Ergosterol
DB00258,Phosphate
APRD00839,Phosphate
DB00259,Dihydropteroate synthase
APRD00438,Dihydropteroate synthase
DB00260,D-alanine--D-alanine ligase A
DB00260,Alanine racemase
APRD00894,D-alanine--D-alanine ligase A
APRD00894,Alanine racemase
DB03123,D-alanine--D-alanine ligase A
DB03123,Alanine racemase
DB00261,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
APRD00798,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
DB00262,DNA
DB00262,"Glutathione reductase, mitochondrial"
DB00262,RNA
APRD00006,DNA
APRD00006,"Glutathione reductase, mitochondrial"
APRD00006,RNA
DB00263,Dihydropteroate synthase
APRD00595,Dihydropteroate synthase
DB00264,Beta-1 adrenergic receptor
DB00264,Beta-2 adrenergic receptor
APRD00208,Beta-1 adrenergic receptor
APRD00208,Beta-2 adrenergic receptor
DB00266,Vitamin K epoxide reductase complex subunit 1
DB00266,NAD(P)H dehydrogenase [quinone] 1
DB00266,Quinone oxidoreductase
APRD00761,Vitamin K epoxide reductase complex subunit 1
APRD00761,NAD(P)H dehydrogenase [quinone] 1
APRD00761,Quinone oxidoreductase
DB00267,Penicillin-binding protein 1A
DB00267,Peptidoglycan synthase FtsI
APRD00851,Penicillin-binding protein 1A
APRD00851,Peptidoglycan synthase FtsI
DB00268,Dopamine D3 receptor
DB00268,Dopamine D4 receptor
DB00268,Alpha adrenergic receptor
DB00268,Dopamine D2 receptor
APRD00302,Dopamine D3 receptor
APRD00302,Dopamine D4 receptor
APRD00302,Alpha adrenergic receptor
APRD00302,Dopamine D2 receptor
DB00269,Estrogen receptor alpha
APRD00715,Estrogen receptor alpha
DB00270,Voltage-dependent L-type calcium channel subunit alpha-1C
DB00270,Voltage-dependent calcium channel subunit alpha-2/delta-1
DB00270,Voltage-dependent L-type calcium channel subunit beta-2
DB00270,Voltage-dependent T-type calcium channel subunit alpha-1H
DB00270,Voltage-dependent calcium channel subunit alpha-2/delta-2
DB00270,Voltage-dependent L-type calcium channel subunit alpha-1D
DB00270,Voltage-dependent L-type calcium channel subunit alpha-1S
APRD00298,Voltage-dependent L-type calcium channel subunit alpha-1C
APRD00298,Voltage-dependent calcium channel subunit alpha-2/delta-1
APRD00298,Voltage-dependent L-type calcium channel subunit beta-2
APRD00298,Voltage-dependent T-type calcium channel subunit alpha-1H
APRD00298,Voltage-dependent calcium channel subunit alpha-2/delta-2
APRD00298,Voltage-dependent L-type calcium channel subunit alpha-1D
APRD00298,Voltage-dependent L-type calcium channel subunit alpha-1S
DB00272,Histamine H2 receptor
APRD00714,Histamine H2 receptor
DB00273,Gamma-aminobutyric acid receptor subunit alpha-1
DB00273,Voltage-gated sodium channel alpha subunit
DB00273,Kainate receptors
DB00273,Carbonic anhydrase 2
DB00273,Carbonic anhydrase 4
DB00273,Carbonic anhydrase 1
DB00273,Carbonic anhydrase 3
DB00273,Voltage gated L-type calcium channel
DB00273,Voltage-dependent R-type calcium channel
